314.00,152.00,15.00,9.00,4.00,2.00,4.00,6.00,6657.00,49452.00,7.00,28372.00,12513.00,7812.00,38321.00,39417.00,7046.00,20637.00,597842.00,800000.00,1207692.86,50893.86,2324.76,688752057.43,2461604.38,35.92,10.00,19.92,6.00,98.85,92.85,6.00,86485.66,29986.55,450.73,4836.54,23.25
412.00,313.00,15.00,1.00,9.00,5.00,1.00,7.00,4120.00,44750.00,7.00,24131.00,18569.00,11496.00,58834.00,36791.00,7283.00,23873.00,635870.00,800000.00,214130.23,19317.47,1882.72,269926562.13,4046247.23,36.46,2.00,28.46,6.00,181.06,175.06,6.00,72628.57,6918.18,1217.83,1115.84,18.83
404.00,516.00,15.00,5.00,6.00,3.00,7.00,8.00,8591.00,50632.00,9.00,17293.00,16387.00,10728.00,47361.00,32988.00,7277.00,17365.00,389067.00,800000.00,1343228.85,71495.35,4712.78,1139510222.20,5144547.38,50.83,6.00,34.83,10.00,261.12,251.12,10.00,95750.53,35668.29,1968.69,5752.95,47.13
67.00,451.00,10.00,1.00,1.00,8.00,4.00,0.00,5383.00,29423.00,8.00,21503.00,18174.00,6262.00,36109.00,30444.00,5652.00,23278.00,761358.00,800000.00,50316.69,4929.35,498.13,73702228.50,1958652.14,22.69,2.00,8.69,12.00,20.69,8.69,12.00,78058.17,1686.33,285.36,271.99,4.98
430.00,485.00,9.00,9.00,7.00,3.00,1.00,6.00,8738.00,37890.00,8.00,27402.00,19155.00,11919.00,45429.00,38659.00,5924.00,24523.00,260242.00,800000.00,2053726.02,99112.09,5748.37,1502963897.38,5145608.44,45.83,10.00,31.83,4.00,198.09,194.09,4.00,104849.30,52948.02,1969.50,8540.00,57.48
405.00,328.00,14.00,5.00,0.00,8.00,7.00,3.00,6815.00,48672.00,9.00,15652.00,16072.00,8946.00,58017.00,31708.00,5918.00,20130.00,710855.00,800000.00,630452.23,36253.83,2597.27,546360091.69,4106729.25,43.72,6.00,22.72,15.00,101.56,86.56,15.00,87013.93,17160.70,1254.51,2767.86,25.97
248.00,220.00,9.00,1.00,6.00,0.00,2.00,9.00,4454.00,49770.00,5.00,28877.00,21070.00,9116.00,67067.00,30916.00,7448.00,18131.00,638612.00,800000.00,108269.31,10105.24,1000.22,130549662.21,2631896.58,29.18,2.00,25.18,2.00,145.07,143.07,2.00,67159.25,3550.56,515.25,572.67,10.00
67.00,497.00,11.00,5.00,3.00,7.00,0.00,7.00,5742.00,30486.00,6.00,22007.00,12946.00,7238.00,66023.00,46103.00,5804.00,21079.00,451665.00,800000.00,477267.67,23846.10,1452.06,264366077.68,2056114.21,32.62,6.00,19.62,7.00,95.96,88.96,7.00,77245.14,12431.18,314.47,2005.03,14.52
459.00,163.00,10.00,7.00,2.00,8.00,3.00,4.00,6535.00,37342.00,8.00,29548.00,18904.00,10617.00,61802.00,44193.00,6871.00,24632.00,419609.00,800000.00,779265.54,38624.10,2326.45,511949913.10,3081993.96,38.68,8.00,19.68,11.00,93.06,82.06,11.00,89491.29,20248.81,706.56,3265.94,23.26
395.00,453.00,14.00,5.00,4.00,8.00,1.00,2.00,5138.00,41723.00,9.00,20565.00,20920.00,11225.00,37763.00,39050.00,5517.00,20419.00,554950.00,800000.00,675991.71,41270.23,3127.40,540605946.56,4766277.09,39.15,6.00,24.15,9.00,83.03,74.03,9.00,74476.60,18773.28,1689.82,3027.95,31.27
138.00,168.00,9.00,5.00,5.00,5.00,5.00,9.00,5425.00,49759.00,5.00,15373.00,11436.00,11237.00,61107.00,48010.00,6842.00,16527.00,359820.00,800000.00,377266.54,19223.90,1201.27,227675148.14,1715638.65,37.11,6.00,21.11,10.00,103.26,93.26,10.00,71610.87,9884.71,218.94,1594.31,12.01
264.00,504.00,12.00,4.00,3.00,0.00,7.00,8.00,5184.00,52478.00,7.00,19802.00,19776.00,11214.00,63480.00,37888.00,6230.00,23421.00,661806.00,800000.00,712473.62,41741.92,3045.38,559454286.22,4110066.70,42.24,5.00,30.24,7.00,207.62,200.62,7.00,80773.59,19513.32,1256.55,3147.31,30.45
127.00,477.00,11.00,6.00,0.00,2.00,8.00,4.00,7348.00,39773.00,8.00,23338.00,21771.00,8986.00,62733.00,35519.00,5848.00,19170.00,515757.00,800000.00,578733.59,29427.01,1833.81,405575044.65,2773273.41,35.31,7.00,18.31,10.00,83.84,73.84,10.00,87629.30,15153.56,572.09,2444.12,18.34
123.00,339.00,9.00,4.00,5.00,7.00,5.00,6.00,7474.00,54430.00,8.00,23070.00,17643.00,11602.00,60376.00,26428.00,6423.00,24959.00,552618.00,800000.00,317227.88,18287.79,1313.42,289005808.18,2300827.41,36.21,5.00,19.21,12.00,98.78,86.78,12.00,99543.47,8641.96,393.78,1393.86,13.13
450.00,239.00,11.00,6.00,6.00,2.00,1.00,5.00,5961.00,42469.00,8.00,17367.00,17552.00,9029.00,46197.00,27980.00,5626.00,16392.00,420122.00,800000.00,808194.26,42585.85,2773.94,527690116.17,3695190.61,33.90,7.00,23.90,3.00,121.88,118.88,3.00,74335.19,21393.78,1015.68,3450.61,27.74
344.00,473.00,12.00,2.00,4.00,8.00,1.00,2.00,6610.00,40866.00,7.00,28916.00,19676.00,10280.00,50436.00,28063.00,6949.00,21703.00,551951.00,800000.00,217534.99,21834.07,2228.30,377340627.31,4545078.93,35.17,3.00,23.17,9.00,79.59,70.59,9.00,86206.00,7371.91,1536.62,1189.02,22.28
348.00,343.00,9.00,2.00,6.00,3.00,0.00,4.00,7913.00,52368.00,6.00,25629.00,16148.00,6211.00,44324.00,38295.00,6689.00,23734.00,445939.00,800000.00,183859.70,18012.74,1820.30,330721754.08,3892855.83,29.27,3.00,23.27,3.00,106.65,103.65,3.00,100164.56,6162.05,1127.25,993.88,18.20
178.00,441.00,13.00,9.00,8.00,4.00,2.00,8.00,5580.00,46580.00,6.00,17918.00,18118.00,11300.00,61146.00,26011.00,6877.00,20998.00,516761.00,800000.00,1740661.02,75015.54,3588.08,910346237.56,3156900.79,42.01,10.00,26.01,6.00,160.10,154.10,6.00,78819.63,43478.45,741.32,7012.65,35.88
298.00,475.00,10.00,1.00,6.00,8.00,2.00,8.00,7275.00,45629.00,9.00,19195.00,20166.00,6854.00,57506.00,35228.00,6057.00,24451.00,717026.00,800000.00,182045.44,19874.12,2093.64,336505435.42,4239226.05,42.81,2.00,30.81,10.00,216.93,206.93,10.00,96012.42,6418.48,1336.77,1035.24,20.94
154.00,363.00,10.00,7.00,6.00,9.00,0.00,8.00,4328.00,50632.00,5.00,16856.00,18075.00,11327.00,42886.00,28908.00,7318.00,24197.00,703827.00,800000.00,907514.07,42914.78,2414.20,505313773.52,2664068.03,40.82,8.00,23.82,9.00,139.04,130.04,9.00,75291.08,23259.88,527.93,3751.59,24.14
508.00,122.00,10.00,9.00,2.00,7.00,4.00,3.00,4588.00,36375.00,6.00,25658.00,20212.00,9567.00,51135.00,49164.00,7097.00,24975.00,665645.00,800000.00,992750.07,44984.15,2360.76,495414148.37,2805068.10,37.95,10.00,16.95,11.00,70.13,59.13,11.00,75893.57,25139.39,585.29,4054.74,23.61
513.00,447.00,13.00,2.00,5.00,5.00,0.00,4.00,4683.00,52814.00,7.00,18469.00,11499.00,7070.00,35175.00,49053.00,6879.00,20091.00,271148.00,800000.00,322136.22,31166.82,3133.18,463848908.11,5395653.87,37.94,3.00,29.94,5.00,148.66,143.66,5.00,72460.47,10735.26,2165.56,1731.49,31.33
127.00,334.00,14.00,8.00,6.00,2.00,9.00,3.00,5095.00,39439.00,5.00,17990.00,13010.00,6385.00,46143.00,38854.00,5968.00,19104.00,746439.00,800000.00,744879.61,33059.44,1672.32,370473874.36,2320634.43,34.80,9.00,14.80,11.00,59.91,48.91,11.00,71253.21,18754.75,400.59,3024.96,16.72
60.00,40.00,11.00,8.00,6.00,6.00,5.00,6.00,5770.00,33754.00,5.00,21753.00,17080.00,8892.00,47310.00,26531.00,5669.00,23503.00,518755.00,800000.00,204943.50,8778.62,414.80,96619962.73,551997.69,32.00,9.00,12.00,11.00,31.82,20.82,11.00,81406.61,5110.76,22.67,824.32,4.15
313.00,207.00,15.00,3.00,4.00,9.00,0.00,0.00,8625.00,52572.00,8.00,20760.00,15661.00,7033.00,54725.00,30959.00,7267.00,19642.00,763137.00,800000.00,166077.33,11955.95,1027.87,229831850.45,2868064.93,25.73,4.00,12.73,9.00,21.73,12.73,9.00,99505.98,4894.84,611.87,789.49,10.28
